รหัสสินค้า,ชื่อสินค้า,ราคา, ราคา ,(ดิบ)
15989,3M Carbon Mask หน้ากากอนามัย 3 มิติ กรอง 4ชั้น 1X2ชิ้น,11, 11.00 ,บาท/ซอง
15991,3M Daily Kids Mask หน้ากากอนามัย 3 มิติ กรอง 3ชั้น 1X4ชิ้น,11.5, 11.50 ,บาท/ซอง
15990,3M Daily Mask หน้ากากอนามัย 3 มิติ กรอง 3ชั้น 1X3ชิ้น,15.5, 15.50 ,บาท/ซอง
15215,3M DISPOSABLE EARPLUGS 1คู่,14.25, 14.25 ,บาท/ชิ้น
16377,3M Fine Slide ไหมขัดฟันมีด้ามจับ30ชิ้น,20, 20.00 ,บาท/ซอง
16447,3M Mask หน้ากากอนามัยทางการแพทย์ 50 ชิ้น / กล่อง,78, 78.00 ,บาท/กล่อง
12427,7-DAY PILL REMINDER M ตลับใส่ยา,83, 83.00 ,บาท/Pcs.
14676,A.C.V 5X5'S ขายยกกล่อง,96, 96.00 ,บาท/กล่อง
16720,A.C.V. CREAM 10x1GM. great,52, 52.00 ,บาท/กล่อง
16602,A.C.V. CREAM 3 GM. great,23, 23.00 ,บาท/หลอด
14250,AB PRE&PRO 10 SACHETS,234, 234.00 ,บาท/กล่อง
16314,ACC SANDOZ 200 MG acetylcysteine20 ef tab,148.5, 148.50 ,บาท/กล่อง
16348,ACC SANDOZ 600 MG acetylcysteine10 ef tab,134, 134.00 ,บาท/กล่อง
16319,ACCUCHECK STRIPT GUIDE 25 ชิ้น,450, 450.00 ,บาท/กล่อง
16320,ACCUCHECK STRIPT INSTANT 25 ชิ้น,440, 440.00 ,บาท/กล่อง
16322,ACCUCHECK เข็ม fast clix 24 ชิ้น,87, 87.00 ,บาท/กล่อง
16321,ACCUCHECK เข็ม soft clix 25 ชิ้น,85, 85.00 ,บาท/กล่อง
16037,ACCUCHECK เครื่องวัดน้ำตาลรุ่น GUIDE,2210," 2,210.00 ",บาท/กล่อง
16318,ACCUCHECK เครื่องวัดน้ำตาลรุ่น INSTANT,1360," 1,360.00 ",บาท/กล่อง
15804,ACCUFAST covid influenza A/B & RSV ATK 4 in1 *ขายขาดไม่รับคื,50, 50.00 ,บาท/กล่อง
15638,ACCUFAST influenza A/B & RSV ATK ไข้หวัดใหญ่ 3in1 *ขายขาดไม่,45, 45.00 ,บาท/กล่อง
10017,ACCUPRIL 20 MG. 1x98T pfizer,1600," 1,600.00 ",บาท/กล่อง
10016,ACCUPRIL 5 MG. 1x98T,890, 890.00 ,บาท/กล่อง
14387,ACETIN 200 MG. 50 ซอง 5 GM.,155, 155.00 ,บาท/กล่อง
10020,ACNE-AID LIQUID 100 ML GENTLE สีฟ้า,142, 142.00 ,บาท/ขวด
10102,ACNE-AID LIQUID 100 ML. สีแดง,141.5, 141.50 ,บาท/ขวด
14153,ACNE-AID LIQUID 100 ML.แพคคู่ สีแดง,246, 246.00 ,บาท/แพค
14353,ACNE-AID LIQUID 500 ML. สีแดง,438, 438.00 ,บาท/ขวด
14354,ACNE-AID LIQUID 500 ML. สีฟ้า,438, 438.00 ,บาท/ขวด
14374,ACNE-AID ANTI ACNE SPOT GEL 10 GMสีแดง,113, 113.00 ,บาท/หลอด
14484,ACNE-AID FOAMING FACE WASH 100 ML.,141, 141.00 ,บาท/ขวด
14483,ACNE-AID GEL CLEANSER GENTLE 100 ML.,130, 130.00 ,บาท/ขวด
14852,ACNE-AID MICELLAR WATER 235 ML,181, 181.00 ,บาท/ขวด
14853,ACNE-AID MOISTURISER LOTION 30 ML.,242, 242.00 ,บาท/ขวด
14375,"ACNE-AID SCAR CARE GEL 10 GM, สีน้ำเงิน",178, 178.00 ,บาท/หลอด
12741,ACNETIN-A 0.025% 10 G. (เขียว),38.5, 38.50 ,บาท/หลอด
12740,ACNETIN-A 0.05% 10 G. (น้ำเงิน),41, 41.00 ,บาท/หลอด
14855,ACTAVIA NASOL SPRAY 10 ML,71, 71.00 ,บาท/ขวด
15130,ACTEWOUND silicon sheet 2.5x100 cm 1 ม้วน แผลผ่าคลอด SOS,346, 346.00 ,บาท/กล่อง
10919,ACTEWOUND CLEAR silicon sheet 7x15 cm 1 ชิ้น แผลผ่าคลอด SOS,280, 280.00 ,บาท/กล่อง
16475,ACTEWOUND silicon sheet 4x6 cm 2 ชิ้น แผลผ่าตัด SOS,138, 138.00 ,บาท/กล่อง
16001,ACTEWOUND silicon sheet 7x15 cm 1 ชิ้น แผลผ่าคลอด SOS,280, 280.00 ,บาท/กล่อง
14173,ACZEE GEL 2.5% 20 GM. (Benzyl peroxide gel ),50, 50.00 ,บาท/หลอด
14174,ACZEE GEL 50 5% 20 GM. (Benzyl peroxide gel ),55, 55.00 ,บาท/หลอด
10054,ADALAT CR 60,860, 860.00 ,บาท/กล่อง
14147,ADVANCED DRAGON'S BLOOD 9 GM purica plus,265, 265.00 ,บาท/หลอด
16008,AERIUS ORAL SOLUTION 0.5 MG sugra free,202, 202.00 ,บาท/ขวด
10710,AERIUS 5 MG. 10'S exp6/2027,254, 254.00 ,บาท/กล่อง
14116,AEROBIDOL 200 DOSE 100MCG( berodual),207, 207.00 ,บาท/ขวด
15827,AERONIDE 200 MCG BUDESONIDE,212, 212.00 ,บาท/กล่อง
14115,AEROTAMOL 200 DOSE 100MCG มี SPACER salbutamol,97, 97.00 ,บาท/ขวด
14953,AEROTIDE EVOHALER 25/125 120 DOSE(ไม่มีcounter dose),230, 230.00 ,บาท/กล่อง
15535,AEROTIDE EVOHALER 25/250120 DOSE(มีcounter dose),459, 459.00 ,บาท/กล่อง
15915,AIME สำลีแผ่น 40 GM.,33.5, 33.50 ,บาท/ชิ้น
15916,AIME สำลีแผ่น 90 GM.,64, 64.00 ,บาท/ชิ้น
16640,AIROMET-AOM omeprazole 20mg 14'S,21, 21.00 ,บาท/กล่อง
16185,AIRROX 10x10'S (simethicone80mg) pross,85, 85.00 ,บาท/กล่อง
16719,AIR-X GO 10 ML X 12 ซอง รสมะนาว sugar free,130, 130.00 ,บาท/กล่อง
16632,AIR-X 10X10'S รสมะนาว,125, 125.00 ,บาท/กล่อง
10056,AIR-X 50x10'S mint,12.5, 12.50 ,บาท/แผง
10060,AIR-X 50X10'S รสมะนาว,12.5, 12.50 ,บาท/แผง
10058,AIR-X 50X10'S รสส้ม,12.5, 12.50 ,บาท/แผง
10057,AIR-X DROP,45, 45.00 ,บาท/กล่อง
16572,AKNEDERM GEL 2.5% 10 GM. (Benzyl peroxide gel ),42.25, 42.25 ,บาท/หลอด
16573,AKNEDERM GEL 5.0 % 10 GM. (Benzyl peroxide gel ),55.75, 55.75 ,บาท/หลอด
10341,ALBEMED 10X 6'S ขายยกกล่อง,130, 130.00 ,บาท/กล่อง
10335,ALBEN 2'S 1 กล่องมี 50 แผง,7.5, 7.50 ,บาท/แผง
16443,ALBEN ANTHELMINTICS SACHET 12 X10 ML.,183, 183.00 ,บาท/กล่อง
10336,ALBEN SYRUP 10 ML.,16.5, 16.50 ,บาท/ขวด
10071,ALBER-T 10 GM.,41.83, 41.83 ,บาท/ชิ้น
10072,ALBU ไข่ขาวผง 250 g berlin,275, 275.00 ,บาท/ห่อ
10073,ALBU ไข่ขาวผง 500 g berlin,500, 500.00 ,บาท/ห่อ
10074,ALBU ไข่ขาวเม็ด 60's berlin,277, 277.00 ,บาท/ขวด
15799,ALBUMIN white egg powder 400 GM vanilla,635, 635.00 ,บาท/กระป๋อง
15798,ALBUMIN white egg powder 400 GM chocolate,635, 635.00 ,บาท/กระป๋อง
10076,ALCOHOL 30 ML. เสือดาว,4.75, 4.75 ,บาท/ชิ้น
10088,ALCOHOL 450 ML .เสือดาว PINK,30.5, 30.50 ,บาท/ขวด
13851,ALCOHOL 450 ML 70% .เสือดาว,32.25, 32.25 ,บาท/ขวด
10087,ALCOHOL 450 ML IPA ขวดเหลี่ยม.ศิริบัญชา,65, 65.00 ,บาท/ขวด
10093,ALCOHOL 180 ML.ศิริบัญชา,18, 18.00 ,บาท/ขวด
10081,ALCOHOL 450 ML.ศิริบัญชา,33.5, 33.50 ,บาท/ขวด
10079,ALCOHOL 60 ML. เสือดาว,7, 7.00 ,บาท/ชิ้น
10094,ALCOHOL 60 ML.ศิริบัญชา,8.75, 8.75 ,บาท/ชิ้น
14277,ALCOHOL CLEAN SPRAY sahakarn 50 ML,29, 29.00 ,บาท/ขวด
16072,ALCOHOL COTTON BALL 15X8ก้อน สำลีชุบ 7S,92, 92.00 ,บาท/กล่อง
10091,ALCOHOL GEL ล้างมือ 170 gm. ศิริบัญชา,50, 50.00 ,บาท/ขวด
10084,ALCOHOL GEL ล้างมือ 400 gm.. ศิริบัญชา,90, 90.00 ,บาท/ขวด
15537,ALCOHOL PREP PAD 20 แผ่นขนาด 8.3x3.8 cm SOS,17.5, 17.50 ,บาท/กล่อง
14762,ALCOHOL PREP PAD 200 แผ่น SOS,156, 156.00 ,บาท/กล่อง
10090,ALCOHOL SPRAY 20 ML.ตลับพกพา,114, 114.00 ,บาท/แพค
10077,ALCOHOL SPRAY 240 ML.,38.5, 38.50 ,บาท/ขวด
10083,ALCOHOL SPRAY 30 ML.,31, 31.00 ,บาท/ขวด
14505,ALCOHOL SPRAY 450 ML.ศิริบัญชา,65, 65.00 ,บาท/ขวด
10337,ALDA 400 MG. 1'S,120, 120.00 ,บาท/แพค
10100,ALDARA CREAM 5% 25 MG. 12 ซอง,160, 160.00 ,บาท/ซอง
15800,A-LEAZE 5mg 1X10'S (levocetrizine) siam,65, 65.00 ,บาท/กล่อง
10651,ALEREST 10X10'S,66, 66.00 ,บาท/กล่อง
11949,ALERTEN 100 MG. 3x10's,555, 555.00 ,บาท/กล่อง
11950,ALERTEN 50 MG 30'S,480, 480.00 ,บาท/กระป๋อง
14501,ALFLOREX 30'S,708, 708.00 ,บาท/กล่อง
15584,ALGOGEN 60 ML. 120 mg.STRAW (paracetamol),16.5, 16.50 ,บาท/ชิ้น
10004,ALGYCON CHEWABLE TAB 7X12'S,140, 140.00 ,บาท/แผง
11518,A-LICES SHAMPOO 30 ML.,55, 55.00 ,บาท/ขวด
15015,ALINAMIN- EX PLUS ขวด 120'S,613, 613.00 ,บาท/ขวด
10103,ALINAMIN- EX PLUS ขวด 60'S,400, 400.00 ,บาท/ขวด
10104,ALINAMIN- F แผง 10X10'S,267, 267.00 ,บาท/กล่อง
15867,ALLERDRYL CREAM 20 GM. greater,35.75, 35.75 ,บาท/หลอด
10654,ALLEREST SYRUP 60 ML.,25.5, 25.50 ,บาท/ขวด
11325,ALLERGIA GEL 7 GM,73, 73.00 ,บาท/หลอด
11578,ALLERGIST 5 ML.,27, 27.00 ,บาท/ขวด
11882,ALLERNIX 10 MG GED,33.5, 33.50 ,บาท/กล่อง
13838,ALLERNIX SYRUP 60 ML.,40.75, 40.75 ,บาท/ขวด
11872,ALLER-TAB 10x10'S,166, 166.00 ,บาท/กล่อง
11874,ALLEX 10'S,11, 11.00 ,บาท/แผง
11881,ALLEX SYRUP,17.5, 17.50 ,บาท/ขวด
10708,ALLORA 5 MG 10'S,47, 47.00 ,บาท/กล่อง
14691,ALLORA SYRUP 60 ML.,56, 56.00 ,บาท/ขวด
10113,ALLORIC 100 MG.50X10'S,255, 255.00 ,บาท/กล่อง
10107,ALLORIC T.O. 100 MG.ขายขาดไม่รับคืน,225, 225.00 ,บาท/ขวด
11459,ALOE VERA GEL 120 GM. ZIGMA,86, 86.00 ,บาท/หลอด
11464,ALOHA ALOE VERA 65 GM,73, 73.00 ,บาท/หลอด
14370,ALPHAGAN P 0.1% 5 ML exp 12/2026,375, 375.00 ,บาท/ขวด
10092,ALSOFF COTTON 12X8ก้อน สำลีชุบalc,61, 61.00 ,บาท/กล่อง
13826,ALSOFT A SPRAY 100 ML OSOTH INTER,110, 110.00 ,บาท/ขวด
10120,AMARYL 2 MG. 3X10'S,1620," 1,620.00 ",บาท/กล่อง
10119,AMARYL 3 MG 3X 10'S รุนใหม่,2330," 2,330.00 ",บาท/กล่อง
12292,AMBES 10 MG. 10X10'S GPO ขายขาดไม่รับคืน,105, 105.00 ,บาท/กล่อง
12291,AMBES 5 MG. 10X10'S GPO ขายขาดไม่รับคืน,57, 57.00 ,บาท/กล่อง
10127,AMBRIXOL 50X10'S,5, 5.00 ,บาท/แผง
10123,AMBROX 10'S,23.5, 23.50 ,บาท/กล่อง
